task_id,rep,score,breakdown_json,feedback
simple_triage,1,0.9999,"{""priority"": 0.4, ""news2_score"": 0.25, ""critical_sign"": 0.2, ""recommended_action"": 0.15}",Excellent (score=1.00)
simple_triage,2,0.9999,"{""priority"": 0.4, ""news2_score"": 0.25, ""critical_sign"": 0.2, ""recommended_action"": 0.15}",Excellent (score=1.00)
simple_triage,3,0.9999,"{""priority"": 0.4, ""news2_score"": 0.25, ""critical_sign"": 0.2, ""recommended_action"": 0.15}",Excellent (score=1.00)
conflicting_vitals,1,0.265,"{""priority"": 0.175, ""critical_sign"": 0.05, ""misleading_signs"": 0.0001, ""rationale"": 0.04}",Insufficient (score=0.27)
conflicting_vitals,2,0.48,"{""priority"": 0.35, ""critical_sign"": 0.05, ""misleading_signs"": 0.0001, ""rationale"": 0.08}",Partial (score=0.48)
conflicting_vitals,3,0.48,"{""priority"": 0.35, ""critical_sign"": 0.05, ""misleading_signs"": 0.0001, ""rationale"": 0.08}",Partial (score=0.48)
masked_deterioration,1,0.9,"{""priority"": 0.3, ""masking_mechanism"": 0.25, ""masked_sign"": 0.25, ""critical_clues"": 0.1}",Excellent (score=0.90)
masked_deterioration,2,0.9,"{""priority"": 0.3, ""masking_mechanism"": 0.25, ""masked_sign"": 0.25, ""critical_clues"": 0.1}",Excellent (score=0.90)
masked_deterioration,3,0.9,"{""priority"": 0.3, ""masking_mechanism"": 0.25, ""masked_sign"": 0.25, ""critical_clues"": 0.1}",Excellent (score=0.90)
demographic_fairness,1,0.82,"{""priority"": 0.6, ""critical_sign"": 0.05, ""recommended_action"": 0.15, ""confidence_bonus"": 0.02}",Good (score=0.82)
demographic_fairness,2,0.41,"{""priority"": 0.21, ""critical_sign"": 0.05, ""recommended_action"": 0.15}",Partial (score=0.41)
demographic_fairness,3,0.41,"{""priority"": 0.21, ""critical_sign"": 0.05, ""recommended_action"": 0.15}",Partial (score=0.41)
